來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/08/03,115/03/17,公告中,,,,,,,,
資策會,PP26070056,「金融科技創新園區第四期第一年(115)場域營運管理」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070056&ord=2,2256250,115/08/03,115/08/10,第2次,,,,,,,,
資策會,PP26070154,「 輕量包裝檢測與品質管理模組服務流程設計與實證 」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070154&ord=2,950000,115/08/03,115/08/05,第2次,,,,,,,,
資策會,PP26070159,「AI機器人應用美國產業鏈對接與當地產業情報委託研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070159&ord=2,1490000,115/08/03,115/08/06,第2次,,,,,,,,
資策會,PP26070209,「AI人才培訓與評估機制之問卷調查機制設計」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070209&ord=1,480000,115/08/03,115/08/07,第1次,,,,,,,,
資策會,PP26070214,「綠色產品資訊管理與供應鏈碳管理委託研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070214&ord=1,1450000,115/08/03,115/08/10,第1次,,,,,,,,
資策會,PP26070215,「無人機產業模組資源平台」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070215&ord=1,1450000,115/08/03,115/08/10,第1次,,,,,,,,
