來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
資策會,12345,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=12345,,-,-,1,,,,,,,,
工研院,A302001088,2026新創國際POB商務落地驗證,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=357608ED-4C6A-4FBA-AAF6-190B67CBD8F4,,115/09/04,115/09/14,P,,,,,,,,
工研院,A512003769,委託進行AI平台建置及整合平台前端開發,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=7D02288B-88E9-42E0-B693-EEA62A21CEDA,,115/09/04,115/09/17,P,,,,,,,,
工研院,G1A3TW001,沙崙綠能科技示範場域太陽光電發電系統建置案,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=EC26AF93-ABAC-41C0-9346-9078F54F8BF7,,115/09/04,115/09/14,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/09/06,115/03/17,公告中,,,,,,,,
資策會,PP26080167,「運動科技會員服務與活動管理平台建置」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080167&ord=2,990000,115/09/04,115/09/08,第2次,,,,,,,,
資策會,PP26090024,「Chiplet高介面傳輸設計主題研習」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090024&ord=1,840000,115/09/04,115/09/10,第1次,,,,,,,,
資策會,PP26090031,「TEXWOOD極木品牌形象暨材料多元應用影片」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090031&ord=1,250000,115/09/04,115/09/08,第1次,,,,,,,,
資策會,PP26090036,「低碳智慧施工解決方案於南部科技產業園區新建科技廠房之雙機分區噴塗與數位施工管理擴散實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090036&ord=1,990000,115/09/04,115/09/08,第1次,,,,,,,,
