來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A512002541,耦光量測專用系統,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=DE30AAFF-3C92-44F2-8DBF-11795DEC1A22,,115/06/22,115/07/01,P,,,,,,,,
工研院,A512002684,TSMC 28nm MPW(UT0722A)晶粒,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=12B5F6C2-AF66-497B-866B-1810DFD09AD1,,115/06/24,115/07/22,P,,,,,,,,
工研院,A512002826,77館B區空調箱,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=E84103DC-AC9D-4D24-B0C4-0647A47AE4D5,,115/06/23,115/06/30,P,,,,,,,,
工研院,A552003109,115年節能宣導短片媒體託播採購案,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=E723B1E0-9695-498C-961E-5EA35405ED29,,115/06/24,115/07/06,P,,,,,,,,
工研院,A552003114,大全聯冷凍系統氣冷式冷凝器OEM訂製,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=D356AD33-0EAD-4D05-8D2A-3EBAD301FC07,,115/06/23,115/06/30,P,,,,,,,,
工研院,A562001610,醫藥產業國際鏈結推動與拓銷策略布局：以疫苗為例,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=874C1D8F-B314-4BE9-8846-16F9EC2D9A4A,,115/06/24,115/07/07,P,,,,,,,,
工研院,A562001612,醫藥產業幕僚作業及產業研析,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=711DA1FB-0244-42F3-BFE1-5D9DF2643DCD,,115/06/24,115/07/07,P,,,,,,,,
工研院,A562001662,智慧醫療服務模式與醫療科技跨場域應用研析委託服務,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=C7BF2D0E-3B9D-4005-AD1C-1F66D0AF5348,,115/06/24,115/07/09,P,,,,,,,,
工研院,A562001664,臺灣醫療科技產業發展歷程影片,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=D56A3F1B-144A-4166-8007-75C93E2992D2,,115/06/22,115/07/02,P,,,,,,,,
