來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
資策會,12345,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=12345,,-,-,1,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/09/14,115/03/17,公告中,,,,,,,,
資策會,PP26060125,「晶片硬體描述語言資安弱點評估研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060125&ord=3,1000000,115/09/14,115/09/17,第3次,,,,,,,,
資策會,PP26090055,「塑膠射出智慧製造企業形象與產品服務影片製作」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090055&ord=1,700000,115/09/14,115/09/21,第1次,,,,,,,,
資策會,PP26090100,「先進製程設計實務演練學程及解題競賽」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090100&ord=1,1392000,115/09/14,115/09/18,第1次,,,,,,,,
資策會,PP26090103,「政府軟體採購網智慧搜尋服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090103&ord=1,1300000,115/09/14,115/09/23,第1次,,,,,,,,
資策會,PP26090104,「 企業AI應用顧問諮詢暨方案媒合」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090104&ord=1,1485000,115/09/14,115/09/18,第1次,,,,,,,,
資策會,PP26090105,「TAITRONICS臺灣印度智慧硬體交流會勞務委託」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090105&ord=1,600000,115/09/14,115/09/18,第1次,,,,,,,,
資策會,PP26090109,「共契廠商履約風險徵信監測資料蒐集服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090109&ord=1,975000,115/09/14,115/09/18,第1次,,,,,,,,
