來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
資策會,12345,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=12345,,-,-,1,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/08/31,115/03/17,公告中,,,,,,,,
資策會,PP26080105,「半導體IC製造製程國際工程人才主題培訓」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080105&ord=2,1152000,115/08/31,115/09/02,第2次,,,,,,,,
資策會,PP26080198,「半導體封測人才文化認同主題研習」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080198&ord=1,384000,115/08/31,115/09/09,第1次,,,,,,,,
資策會,PP26080201,「2026 IIoT x Edge AI論壇」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080201&ord=1,1250000,115/08/31,115/09/04,第1次,,,,,,,,
資策會,PP26080202,「嵌入式Device Driver實務開發實戰工作坊」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080202&ord=1,496800,115/08/31,115/09/07,第1次,,,,,,,,
資策會,PP26080203,「日系電子製造場域AI智慧作業輔助POC實證服務案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080203&ord=1,985000,115/08/31,115/09/07,第1次,,,,,,,,
資策會,PP26080205,「工業電腦組裝及包裝場域AI智慧作業輔助POC實證服務案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26080205&ord=1,965000,115/08/31,115/09/07,第1次,,,,,,,,
