來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A512002980,12吋濕式旋轉化學蝕刻清洗系統,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=E3883185-10D1-4F58-9B7F-490E77F3D431,,115/07/09,115/07/29,P,,,,,,,,
工研院,A552002994,等離子薄膜沉積裝置,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=64CFB9F3-98F6-456C-9BAE-849428A2CEC1,,115/07/09,115/07/15,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/07/11,115/03/17,公告中,,,,,,,,
資策會,PP26060078,「MIC中文官方網站設計改版」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060078&ord=2,800000,115/07/09,115/07/14,第2次,,,,,,,,
資策會,PP26070043,「企業服務需求資料蒐整與探詢紀錄建置支援服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070043&ord=1,2500000,115/07/09,115/07/20,第1次,,,,,,,,
資策會,PP26070048,「臺灣科普列車之知識宣導及體驗實作活動規劃」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070048&ord=1,1000000,115/07/10,115/07/15,第1次,,,,,,,,
資策會,PP26070054,「影視及圖文出版產業AI風險指引深度訪談與焦點座談」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070054&ord=1,600000,115/07/09,115/07/13,第1次,,,,,,,,
資策會,PP26070058,「雲端個資隱私領域諮詢及研究委託服務案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070058&ord=1,1000000,115/07/09,115/07/14,第1次,,,,,,,,
資策會,PP26070059,「新興科技產業影響分析報告」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070059&ord=1,1400000,115/07/09,115/07/14,第1次,,,,,,,,
資策會,PP26070065,「我國電子資訊產業AI減碳發展現況調查」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070065&ord=1,600000,115/07/09,115/07/14,第1次,,,,,,,,
