來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
資策會,12345,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=12345,,-,-,1,,,,,,,,
工研院,A302001175,百工百業轉型100優良企業案例內容及成果專刊編製案,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=2BBF5333-8C26-4349-BEC2-4865779DA06C,,115/09/15,115/09/29,P,,,,,,,,
工研院,A522001997,資通訊文物館展示設計與建置,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=80291995-A257-4EAB-8B76-DD16771BEC63,,115/09/15,115/09/29,P,,,,,,,,
工研院,A522002027,訊號處理平台,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=018ACF1D-AB8C-4AE0-87BF-265877BA76D2,,115/09/15,115/09/29,U,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/09/17,115/03/17,公告中,,,,,,,,
資策會,PP26090069,「AI應用與數位需求調查」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090069&ord=2,800000,115/09/16,115/09/21,第2次,,,,,,,,
資策會,PP26090072,「新創嚴選新創方案試用推廣_無程式碼AI應用工具」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090072&ord=2,320000,115/09/16,115/09/18,第2次,,,,,,,,
資策會,PP26090092,「中小微企業AI應用協作賦能與知識擴散服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090092&ord=2,450000,115/09/17,115/09/21,第2次,,,,,,,,
資策會,PP26090115,「大型場館能耗管理服務暨場域實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090115&ord=1,740000.0,115/09/15,115/09/21,第1次,,,,,,,,
資策會,PP26090117,「大型場館AI營運管理服務暨場域實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090117&ord=1,860000.0,115/09/15,115/09/21,第1次,,,,,,,,
資策會,PP26090118,「115年AI應用人才培育成果數位內容製作與推廣委託案」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090118&ord=1,500000.0,115/09/15,115/09/22,第1次,,,,,,,,
資策會,PP26090122,「AI智慧旅宿人機協作服務設計與場域實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090122&ord=1,550000,115/09/16,115/09/21,第1次,,,,,,,,
資策會,PP26090128,「2026年智世代社區短鏈生活圈研討活動」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090128&ord=1,580000,115/09/16,115/09/21,第1次,,,,,,,,
資策會,PP26090130,「軟體採購網採購風險辨識與預警進階分析與可行性驗證顧問服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090130&ord=1,997395,115/09/17,115/09/23,第1次,,,,,,,,
資策會,PP26090132,「115年全會資安內部稽核服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090132&ord=1,800000,115/09/17,115/09/23,第1次,,,,,,,,
資策會,PP26090135,「2026國合基磐能量提升-台波蘭媒合暨廠商參訪」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090135&ord=1,620000,115/09/17,115/09/23,第1次,,,,,,,,
資策會,PP26090136,「運動社群推動設計」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090136&ord=1,980000,115/09/17,115/09/21,第1次,,,,,,,,
資策會,PP26090141,「智慧機械產業聯盟赴日產業交流推動協助」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26090141&ord=1,580000,115/09/17,115/09/21,第1次,,,,,,,,
