來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A142000999,湖映館D棟啟用與餐廳共創辦公區空調,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=2769D0C9-C7F8-4267-9E55-8B7424D21F32,,115/07/02,115/07/09,P,,,,,,,,
工研院,A512002895,系統測試用馬達,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=3385CE37-CD85-47ED-9E9B-B8C6D2EC3C33,,115/07/03,115/07/10,P,,,,,,,,
工研院,A522001247,委託處理國際衛星鏈路租用及相關驗證服務,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=A9F2B2A3-1BB1-47E5-87BE-0EAB774A702F,,115/07/02,115/07/09,P,,,,,,,,
工研院,A522001248,智慧化碼頭通感融合技術驗證環境服務委託,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=698BF624-58E2-4300-8B5E-FAE68853C84D,,115/07/02,115/07/13,P,,,,,,,,
工研院,A522001297,室外通感融合測試系統平台建置委託,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=66B8F763-21B9-444B-BCB1-0DFD2BC57AFE,,115/07/03,115/07/16,P,,,,,,,,
工研院,A552003114,大全聯冷凍系統氣冷式冷凝器OEM訂製,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=DB7623AE-B66C-4D6E-BE49-C6069663508F,,115/07/02,115/07/08,P,,,,,,,,
工研院,A552003295,委託蒐集國內冷媒使用現況資料與回收數據分析,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=184BF25E-F784-4FB4-AECF-8A80BBB00DC1,,115/07/02,115/07/14,P,,,,,,,,
工研院,A552003336,2026台灣創新技術博覽會『創新經濟館』展覽裝潢，詳細資料如附件,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=AB06A560-8FBF-49E9-B4E4-008016FE4729,,115/07/01,115/07/14,P,,,,,,,,
工研院,A712000283,高算力中心研發設備,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=54B60EF7-E257-44AE-BAD0-242930339B7C,,115/07/01,115/07/10,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/07/03,115/03/17,公告中,,,,,,,,
資策會,PP26060229,「高端顯示應用導入高人流育樂場域落地實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060229&ord=1,2800000,115/07/03,115/07/20,第1次,,,,,,,,
資策會,PP26060234,「健康促進運動科技產品印尼場域導入與驗證服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060234&ord=1,650000,115/07/02,115/07/07,第1次,,,,,,,,
資策會,PP26070003,「半導體封測國際工程人才培訓」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070003&ord=1,1440000,115/07/02,115/07/10,第1次,,,,,,,,
資策會,PP26070008,「產業AI人才動能推升Coupon 補助機制推廣活動」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070008&ord=1,1450000,115/07/03,115/07/09,第1次,,,,,,,,
資策會,PP26070016,「高齡照顧機構互動賦能數位應用服務實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070016&ord=1,850000,115/07/03,115/07/08,第1次,,,,,,,,
資策會,PP26070017,「高齡照顧機構之健康監測數位應用服務實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070017&ord=1,750000,115/07/03,115/07/08,第1次,,,,,,,,
資策會,PP26070018,「跨計畫查詢服務平台建置」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070018&ord=1,17000000,115/07/03,115/07/17,第1次,,,,,,,,
