來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A552003285,工質泵浦,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=02EC9DF2-DB51-4A92-8D2D-9F5B09408404,,115/07/13,115/07/21,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/07/14,115/03/17,公告中,,,,,,,,
資策會,PP26060226,「新創嚴選新創方案試用推廣_食品製造業管理」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060226&ord=3,450000,115/07/13,115/07/15,第3次,,,,,,,,
資策會,PP26070060,「115年度建置藥品韌性基金可行性評估委託」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070060&ord=1,1300000,115/07/13,115/07/20,第1次,,,,,,,,
資策會,PP26070066,「公開徵求系統導入AI協作」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070066&ord=1,3000000,115/07/13,115/07/22,第1次,,,,,,,,
資策會,PP26070069,「高堆疊封裝DOE參數最佳化之技術研討」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070069&ord=1,520000,115/07/13,115/07/17,第1次,,,,,,,,
資策會,PP26070075,「產業AI化能量需求研析與技術資源盤點」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070075&ord=1,2900000,115/07/13,115/07/23,第1次,,,,,,,,
資策會,PP26070079,「電子資訊業氣候變遷相關財務揭露導入實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070079&ord=1,800000.0,115/07/13,115/07/17,第1次,,,,,,,,
資策會,PP26070080,「運用AI 輔助PLC控制應用驗證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070080&ord=1,650000,115/07/13,115/07/20,第1次,,,,,,,,
資策會,PP26070081,「半導體製程暨車用電子主題研習」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070081&ord=1,1140000,115/07/13,115/07/20,第1次,,,,,,,,
資策會,PP26070082,「晶圓平坦化主題研習暨JFET技術顧問諮詢」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070082&ord=1,1464000,115/07/13,115/07/20,第1次,,,,,,,,
資策會,PP26070085,「e-Learning系統」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070085&ord=1,720000,115/07/13,115/07/20,第1次,,,,,,,,
資策會,PP26070098,「高齡照護數位輔助科技跨域交流媒合會」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070098&ord=1,800000,115/07/14,115/07/20,第1次,,,,,,,,
