來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A302000890,再生能源憑證費用,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=83714597-21BE-4492-A54D-63BFE987D041,,115/07/22,115/08/03,P,,,,,,,,
工研院,A512003286,115年智慧光感顯示解決方案暨成果展(智慧醫療),https://vendor.itri.org.tw/broadBdetail2.aspx?seq=DBACCCAD-678E-4BCA-AD2A-B8240EB4EB45,,115/07/22,115/08/05,U,,,,,,,,
工研院,A542004682,多頻渦電流探傷儀,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=57D68E9E-EDA5-4DD1-96D3-1B8A16D213D8,,115/07/22,115/08/03,P,,,,,,,,
工研院,A562002163,國際醫療科技創新趨勢研析與合作布局,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=9473A6C7-3AC4-4963-8A61-0CBDBC07AF48,,115/07/22,115/08/03,P,,,,,,,,
工研院,G4K4PE001,財團法人工業技術研究院網路交易【i購平台】招商公告,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=80742240-36B2-43BE-8FFB-169232095540,,115/07/22,115/12/31,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/07/24,115/03/17,公告中,,,,,,,,
資策會,PP26060151,「臺北自來水事業處公館大樓基礎裝修工程」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26060151&ord=2,58000000,115/07/23,115/07/31,第2次,,,,,,,,
資策會,PP26070064,「資策會名片印製」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070064&ord=1,1420000.0,115/07/22,115/07/28,第1次,,,,,,,,
資策會,PP26070081,「半導體製程暨車用電子主題研習」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070081&ord=2,1140000.0,115/07/22,115/07/27,第2次,,,,,,,,
資策會,PP26070098,「高齡照護數位輔助科技跨域交流媒合會」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070098&ord=2,800000,115/07/24,115/07/27,第2次,,,,,,,,
資策會,PP26070136,「智慧醫療與永續管理方案整合與服務實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070136&ord=1,2450000.0,115/07/22,115/07/28,第1次,,,,,,,,
資策會,PP26070137,「音樂AI互動技術服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070137&ord=1,450000.0,115/07/22,115/07/27,第1次,,,,,,,,
資策會,PP26070141,「AI應用實戰主題研習暨嵌入式晶片實戰工作坊」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070141&ord=1,645000,115/07/22,115/07/27,第1次,,,,,,,,
資策會,PP26070151,「 太空人才培育影音記錄與製作」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070151&ord=1,250000,115/07/24,115/07/29,第1次,,,,,,,,
資策會,PP26070153,「2026銀光科技示範場域演示成果活動」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070153&ord=1,1950000,115/07/24,115/08/03,第1次,,,,,,,,
資策會,PP26070156,「AI應用示範與生態系建構服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070156&ord=1,980000,115/07/24,115/07/30,第1次,,,,,,,,
資策會,PP26070159,「AI機器人應用美國產業鏈對接與當地產業情報委託研究」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070159&ord=1,1490000,115/07/24,115/07/31,第1次,,,,,,,,
資策會,PP26070160,「優化高齡照顧機構營運管理效率之數位應用服務實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070160&ord=1,650000,115/07/24,115/07/31,第1次,,,,,,,,
資策會,PP26070161,「製造業AI應用情境分類與案例資料研擬」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070161&ord=1,980000,115/07/24,115/07/31,第1次,,,,,,,,
資策會,PP26070162,「企業場域AI應用需求資料彙整與分析」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070162&ord=1,960000,115/07/24,115/07/31,第1次,,,,,,,,
