來源,案號,標題,標題連結,預算金額,公告日,截止日,狀態,採購類型,採購方式,公佈日,投標日,開標日,查詢日期,招標狀態,更正日期
資策會,1,3,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1,,-,-,2,,,,,,,,
資策會,123,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=123,,-,-,1,,,,,,,,
資策會,1234,2,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=1234,,-,-,1,,,,,,,,
工研院,A012000685,全院ISO9001、ISO14001及ISO45001驗證,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=8C5A0DB6-192C-4B79-82A9-C645D42DFE58,,115/07/21,115/08/06,P,,,,,,,,
工研院,A012000686,2026院士授證典禮活動執行,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=31006376-E428-433B-B847-0941E8DCB8E3,,115/07/20,115/07/28,P,,,,,,,,
工研院,A142001086,中興院區總變電站至32.46館高壓電力電纜汰換,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=2ADB1843-963D-4A76-9A0B-C2C0A41821D3,,115/07/21,115/07/28,P,,,,,,,,
工研院,A542004125,同向雙軸押出機量產型設備,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=C6B02D71-4D69-4B74-9FE4-9F226D6734FD,,115/07/21,115/07/30,P,,,,,,,,
工研院,A552003305,含揮發性有機物化學製品分析工作,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=ACDF5435-80C6-47D8-B26D-C820940C9D9A,,115/07/21,115/07/28,P,,,,,,,,
工研院,A552003554,液膜式蒸發熱交換組件請購,https://vendor.itri.org.tw/broadBdetail2.aspx?seq=38F3D86A-5944-429D-A011-A906A21F65D4,,115/07/20,115/07/31,P,,,,,,,,
資策會,PP26020076,「智慧杆資料應用整合工作坊徵集」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26020076,1300000,115/07/21,115/03/17,公告中,,,,,,,,
資策會,PP26070112,「電子資訊業自然相關財務揭露實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070112&ord=1,800000,115/07/20,115/07/24,第1次,,,,,,,,
資策會,PP26070122,「2026赴日拓銷暨參訪」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070122&ord=1,900000,115/07/20,115/07/27,第1次,,,,,,,,
資策會,PP26070123,「企業服務需求資料蒐整與探詢紀錄建置支援服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070123&ord=1,1250000,115/07/20,115/07/24,第1次,,,,,,,,
資策會,PP26070128,「AI地方ESG實證課程教案設計與企業諮詢診斷服務」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070128&ord=1,580000,115/07/20,115/07/22,第1次,,,,,,,,
資策會,PP26070133,「AI工具整合於智慧座艙」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070133&ord=1,500000,115/07/21,115/07/27,第1次,,,,,,,,
資策會,PP26070135,「金屬加工數位雙生場域實證」採購案,https://bid.iii.org.tw/bid/list/bid_new_list.aspx?bid_no=PP26070135&ord=1,990000,115/07/21,115/07/27,第1次,,,,,,,,
